country;variable;description;code;2014
AUT;K;Education;P85;35 794
AUT;K;Human health and social work activities;Q;48 019
AUT;K;Other service activities;R_S;26 956
AUT;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
AUT;K;Activities of extraterritorial organizations and bodies;U;0
BEL;K;Crop and animal production, hunting and related service activities;A01;8 525
BEL;K;Forestry and logging;A02;292
BEL;K;Fishing and aquaculture;A03;139
BEL;K;Mining and quarrying;B;726
BEL;K;Manufacture of food products, beverages and tobacco products;C10-C12;16 649
BEL;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;2 939
BEL;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;2 210
BEL;K;Manufacture of paper and paper products;C17;3 045
BEL;K;Printing and reproduction of recorded media;C18;3 280
BEL;K;Manufacture of coke and refined petroleum products ;C19;3 025
BEL;K;Manufacture of chemicals and chemical products ;C20;15 592
BEL;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;18 322
BEL;K;Manufacture of rubber and plastic products;C22;4 541
BEL;K;Manufacture of other non-metallic mineral products;C23;5 214
BEL;K;Manufacture of basic metals;C24;5 081
BEL;K;Manufacture of fabricated metal products, except machinery and equipment;C25;7 537
BEL;K;Manufacture of computer, electronic and optical products;C26;3 521
BEL;K;Manufacture of electrical equipment;C27;2 477
BEL;K;Manufacture of machinery and equipment n.e.c.;C28;4 481
BEL;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;6 278
BEL;K;Manufacture of other transport equipment;C30;1 716
BEL;K;"Manufacture of furniture; other manufacturing";C31_C32;1 497
BEL;K;Repair and installation of machinery and equipment;C33;1 834
BEL;K;Electricity, gas, steam and air conditioning supply;D35;26 949
BEL;K;Water collection, treatment and supply;E36;4 371
BEL;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;11 337
BEL;K;Construction;F;31 481
BEL;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;7 558
BEL;K;Wholesale trade, except of motor vehicles and motorcycles;G46;28 982
BEL;K;Retail trade, except of motor vehicles and motorcycles;G47;21 268
BEL;K;Land transport and transport via pipelines;H49;37 830
BEL;K;Water transport;H50;2 132
BEL;K;Air transport;H51;2 246
BEL;K;Warehousing and support activities for transportation;H52;52 174
BEL;K;Postal and courier activities;H53;11 373
BEL;K;Accommodation and food service activities;I;10 928
BEL;K;Publishing activities;J58;1 499
BEL;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;2 607
BEL;K;Telecommunications;J61;10 320
BEL;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;6 228
BEL;K;Financial service activities, except insurance and pension funding;K64;18 019
BEL;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;5 275
BEL;K;Activities auxiliary to financial services and insurance activities;K66;4 487
BEL;K;Real estate activities;L68;573 902
BEL;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;23 216
BEL;K;"Architectural and engineering activities; technical testing and analysis";M71;3 435
BEL;K;Scientific research and development;M72;5 972
BEL;K;Advertising and market research;M73;2 570
BEL;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;1 573
BEL;K;Administrative and support service activities;N;24 584
BEL;K;"Public administration and defence; compulsory social security";O84;54 450
BEL;K;Education;P85;36 641
BEL;K;Human health and social work activities;Q;37 399
BEL;K;Other service activities;R_S;10 921
BEL;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
BEL;K;Activities of extraterritorial organizations and bodies;U;0
BGR;K;Crop and animal production, hunting and related service activities;A01;18 565
BGR;K;Forestry and logging;A02;1 111
BGR;K;Fishing and aquaculture;A03;87
BGR;K;Mining and quarrying;B;5 824
BGR;K;Manufacture of food products, beverages and tobacco products;C10-C12;5 120
BGR;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;4 279
BGR;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;506
BGR;K;Manufacture of paper and paper products;C17;448
BGR;K;Printing and reproduction of recorded media;C18;588
BGR;K;Manufacture of coke and refined petroleum products ;C19;3 050
BGR;K;Manufacture of chemicals and chemical products ;C20;1 340
BGR;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;525
BGR;K;Manufacture of rubber and plastic products;C22;756
BGR;K;Manufacture of other non-metallic mineral products;C23;1 873
BGR;K;Manufacture of basic metals;C24;1 641
BGR;K;Manufacture of fabricated metal products, except machinery and equipment;C25;2 393
BGR;K;Manufacture of computer, electronic and optical products;C26;383
BGR;K;Manufacture of electrical equipment;C27;689
BGR;K;Manufacture of machinery and equipment n.e.c.;C28;1 294
BGR;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;167
BGR;K;Manufacture of other transport equipment;C30;170
BGR;K;"Manufacture of furniture; other manufacturing";C31_C32;752
BGR;K;Repair and installation of machinery and equipment;C33;1 133
BGR;K;Electricity, gas, steam and air conditioning supply;D35;7 105
BGR;K;Water collection, treatment and supply;E36;1 410
BGR;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;757
BGR;K;Construction;F;16 381
BGR;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;1 760
BGR;K;Wholesale trade, except of motor vehicles and motorcycles;G46;10 005
BGR;K;Retail trade, except of motor vehicles and motorcycles;G47;11 864
BGR;K;Land transport and transport via pipelines;H49;8 685
BGR;K;Water transport;H50;954
BGR;K;Air transport;H51;249
BGR;K;Warehousing and support activities for transportation;H52;2 795
BGR;K;Postal and courier activities;H53;1 892
BGR;K;Accommodation and food service activities;I;4 051
BGR;K;Publishing activities;J58;1 119
BGR;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;671
BGR;K;Telecommunications;J61;5 706
BGR;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;1 926
BGR;K;Financial service activities, except insurance and pension funding;K64;9 649
BGR;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;2 078
BGR;K;Activities auxiliary to financial services and insurance activities;K66;460
BGR;K;Real estate activities;L68;95 556
