country;variable;description;code;2014
CYP;K;"Manufacture of furniture; other manufacturing";C31_C32;90
CYP;K;Repair and installation of machinery and equipment;C33;30
CYP;K;Electricity, gas, steam and air conditioning supply;D35;2 136
CYP;K;Water collection, treatment and supply;E36;456
CYP;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;609
CYP;K;Construction;F;875
CYP;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;329
CYP;K;Wholesale trade, except of motor vehicles and motorcycles;G46;1 160
CYP;K;Retail trade, except of motor vehicles and motorcycles;G47;1 130
CYP;K;Land transport and transport via pipelines;H49;469
CYP;K;Water transport;H50;1 558
CYP;K;Air transport;H51;348
CYP;K;Warehousing and support activities for transportation;H52;1 089
CYP;K;Postal and courier activities;H53;88
CYP;K;Accommodation and food service activities;I;1 141
CYP;K;Publishing activities;J58;138
CYP;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;150
CYP;K;Telecommunications;J61;1 032
CYP;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;433
CYP;K;Financial service activities, except insurance and pension funding;K64;345
CYP;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;29
CYP;K;Activities auxiliary to financial services and insurance activities;K66;29
CYP;K;Real estate activities;L68;22 916
CYP;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;3 625
CYP;K;"Architectural and engineering activities; technical testing and analysis";M71;462
CYP;K;Scientific research and development;M72;26
CYP;K;Advertising and market research;M73;218
CYP;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;186
CYP;K;Administrative and support service activities;N;805
CYP;K;"Public administration and defence; compulsory social security";O84;7 078
CYP;K;Education;P85;1 458
CYP;K;Human health and social work activities;Q;487
CYP;K;Other service activities;R_S;1 351
CYP;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
CYP;K;Activities of extraterritorial organizations and bodies;U;0
CZE;K;Crop and animal production, hunting and related service activities;A01;263 253
CZE;K;Forestry and logging;A02;40 056
CZE;K;Fishing and aquaculture;A03;2 711
CZE;K;Mining and quarrying;B;189 787
CZE;K;Manufacture of food products, beverages and tobacco products;C10-C12;233 171
CZE;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;69 187
CZE;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;61 558
CZE;K;Manufacture of paper and paper products;C17;60 346
CZE;K;Printing and reproduction of recorded media;C18;34 139
CZE;K;Manufacture of coke and refined petroleum products ;C19;33 794
CZE;K;Manufacture of chemicals and chemical products ;C20;129 629
CZE;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;39 530
CZE;K;Manufacture of rubber and plastic products;C22;134 620
CZE;K;Manufacture of other non-metallic mineral products;C23;165 033
CZE;K;Manufacture of basic metals;C24;143 196
CZE;K;Manufacture of fabricated metal products, except machinery and equipment;C25;222 121
CZE;K;Manufacture of computer, electronic and optical products;C26;179 731
CZE;K;Manufacture of electrical equipment;C27;125 131
CZE;K;Manufacture of machinery and equipment n.e.c.;C28;237 057
CZE;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;435 464
CZE;K;Manufacture of other transport equipment;C30;47 532
CZE;K;"Manufacture of furniture; other manufacturing";C31_C32;67 921
CZE;K;Repair and installation of machinery and equipment;C33;62 009
CZE;K;Electricity, gas, steam and air conditioning supply;D35;759 664
CZE;K;Water collection, treatment and supply;E36;248 508
CZE;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;110 234
CZE;K;Construction;F;312 036
CZE;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;82 641
CZE;K;Wholesale trade, except of motor vehicles and motorcycles;G46;311 366
CZE;K;Retail trade, except of motor vehicles and motorcycles;G47;330 465
CZE;K;Land transport and transport via pipelines;H49;529 631
CZE;K;Water transport;H50;2 763
CZE;K;Air transport;H51;19 827
CZE;K;Warehousing and support activities for transportation;H52;941 725
CZE;K;Postal and courier activities;H53;22 799
CZE;K;Accommodation and food service activities;I;190 898
CZE;K;Publishing activities;J58;20 906
CZE;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;44 224
CZE;K;Telecommunications;J61;293 715
CZE;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;82 364
CZE;K;Financial service activities, except insurance and pension funding;K64;183 391
CZE;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;25 190
CZE;K;Activities auxiliary to financial services and insurance activities;K66;6 140
CZE;K;Real estate activities;L68;5 481 823
CZE;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;73 856
CZE;K;"Architectural and engineering activities; technical testing and analysis";M71;152 394
CZE;K;Scientific research and development;M72;123 264
CZE;K;Advertising and market research;M73;24 799
CZE;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;47 070
CZE;K;Administrative and support service activities;N;140 498
CZE;K;"Public administration and defence; compulsory social security";O84;2 543 664
CZE;K;Education;P85;1 028 543
CZE;K;Human health and social work activities;Q;440 282
CZE;K;Other service activities;R_S;344 097
CZE;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
CZE;K;Activities of extraterritorial organizations and bodies;U;0
DEU;K;Crop and animal production, hunting and related service activities;A01;147 201
DEU;K;Forestry and logging;A02;7 764
DEU;K;Fishing and aquaculture;A03;1 319
DEU;K;Mining and quarrying;B;13 722
DEU;K;Manufacture of food products, beverages and tobacco products;C10-C12;54 094
DEU;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;7 965
DEU;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;7 251
DEU;K;Manufacture of paper and paper products;C17;14 766
DEU;K;Printing and reproduction of recorded media;C18;9 607
DEU;K;Manufacture of coke and refined petroleum products ;C19;7 892
DEU;K;Manufacture of chemicals and chemical products ;C20;80 517
DEU;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;58 301
DEU;K;Manufacture of rubber and plastic products;C22;29 576
DEU;K;Manufacture of other non-metallic mineral products;C23;18 853
DEU;K;Manufacture of basic metals;C24;28 583
DEU;K;Manufacture of fabricated metal products, except machinery and equipment;C25;42 494
DEU;K;Manufacture of computer, electronic and optical products;C26;59 858
DEU;K;Manufacture of electrical equipment;C27;36 131
DEU;K;Manufacture of machinery and equipment n.e.c.;C28;92 442
DEU;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;158 929
DEU;K;Manufacture of other transport equipment;C30;20 426
DEU;K;"Manufacture of furniture; other manufacturing";C31_C32;20 692
DEU;K;Repair and installation of machinery and equipment;C33;8 208
DEU;K;Electricity, gas, steam and air conditioning supply;D35;183 877
DEU;K;Water collection, treatment and supply;E36;57 731
DEU;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;229 777
DEU;K;Construction;F;50 028
DEU;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;35 836
DEU;K;Wholesale trade, except of motor vehicles and motorcycles;G46;97 332
DEU;K;Retail trade, except of motor vehicles and motorcycles;G47;81 607
DEU;K;Land transport and transport via pipelines;H49;84 754
DEU;K;Water transport;H50;51 256
DEU;K;Air transport;H51;15 134
DEU;K;Warehousing and support activities for transportation;H52;247 207
DEU;K;Postal and courier activities;H53;12 721
DEU;K;Accommodation and food service activities;I;51 253
DEU;K;Publishing activities;J58;5 821
DEU;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;17 334
DEU;K;Telecommunications;J61;59 802
DEU;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;35 677
DEU;K;Financial service activities, except insurance and pension funding;K64;93 738
DEU;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;52 949
DEU;K;Activities auxiliary to financial services and insurance activities;K66;1 288
DEU;K;Real estate activities;L68;5 005 755
DEU;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;45 015
DEU;K;"Architectural and engineering activities; technical testing and analysis";M71;16 184
DEU;K;Scientific research and development;M72;74 227
DEU;K;Advertising and market research;M73;2 867
DEU;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;4 714
DEU;K;Administrative and support service activities;N;268 309
DEU;K;"Public administration and defence; compulsory social security";O84;723 753
DEU;K;Education;P85;316 895
DEU;K;Human health and social work activities;Q;443 887
DEU;K;Other service activities;R_S;225 339
DEU;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
DEU;K;Activities of extraterritorial organizations and bodies;U;0
DNK;K;Crop and animal production, hunting and related service activities;A01;202 066
DNK;K;Forestry and logging;A02;5 030
DNK;K;Fishing and aquaculture;A03;7 969
DNK;K;Mining and quarrying;B;95 599
DNK;K;Manufacture of food products, beverages and tobacco products;C10-C12;93 403
DNK;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;7 738
DNK;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;9 762
DNK;K;Manufacture of paper and paper products;C17;8 457
DNK;K;Printing and reproduction of recorded media;C18;8 499
DNK;K;Manufacture of coke and refined petroleum products ;C19;9 040
DNK;K;Manufacture of chemicals and chemical products ;C20;34 441
DNK;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;94 496
DNK;K;Manufacture of rubber and plastic products;C22;18 985
DNK;K;Manufacture of other non-metallic mineral products;C23;17 111
DNK;K;Manufacture of basic metals;C24;6 287
DNK;K;Manufacture of fabricated metal products, except machinery and equipment;C25;24 368
DNK;K;Manufacture of computer, electronic and optical products;C26;28 713
DNK;K;Manufacture of electrical equipment;C27;9 531
DNK;K;Manufacture of machinery and equipment n.e.c.;C28;64 799
DNK;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;4 229
DNK;K;Manufacture of other transport equipment;C30;3 090
DNK;K;"Manufacture of furniture; other manufacturing";C31_C32;25 271
DNK;K;Repair and installation of machinery and equipment;C33;5 430
DNK;K;Electricity, gas, steam and air conditioning supply;D35;237 124
DNK;K;Water collection, treatment and supply;E36;20 570
DNK;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;103 808
DNK;K;Construction;F;55 913
DNK;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;32 264
DNK;K;Wholesale trade, except of motor vehicles and motorcycles;G46;98 734
DNK;K;Retail trade, except of motor vehicles and motorcycles;G47;59 209
DNK;K;Land transport and transport via pipelines;H49;102 942
DNK;K;Water transport;H50;150 326
DNK;K;Air transport;H51;22 425
DNK;K;Warehousing and support activities for transportation;H52;161 888
DNK;K;Postal and courier activities;H53;9 066
DNK;K;Accommodation and food service activities;I;33 074
DNK;K;Publishing activities;J58;13 256
DNK;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;24 262
DNK;K;Telecommunications;J61;92 614
DNK;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;30 322
DNK;K;Financial service activities, except insurance and pension funding;K64;55 427
DNK;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;11 809
DNK;K;Activities auxiliary to financial services and insurance activities;K66;10 464
DNK;K;Real estate activities;L68;3 044 921
DNK;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;21 126
DNK;K;"Architectural and engineering activities; technical testing and analysis";M71;14 003
DNK;K;Scientific research and development;M72;39 182
DNK;K;Advertising and market research;M73;2 993
DNK;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;4 543
DNK;K;Administrative and support service activities;N;65 201
DNK;K;"Public administration and defence; compulsory social security";O84;341 316
DNK;K;Education;P85;273 325
DNK;K;Human health and social work activities;Q;211 341
DNK;K;Other service activities;R_S;122 508
DNK;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
DNK;K;Activities of extraterritorial organizations and bodies;U;0
ESP;K;Crop and animal production, hunting and related service activities;A01;52 373
ESP;K;Forestry and logging;A02;1 813
ESP;K;Fishing and aquaculture;A03;2 912
ESP;K;Mining and quarrying;B;11 424
ESP;K;Manufacture of food products, beverages and tobacco products;C10-C12;55 004
ESP;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;7 790
ESP;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;4 525
ESP;K;Manufacture of paper and paper products;C17;8 103
ESP;K;Printing and reproduction of recorded media;C18;8 409
ESP;K;Manufacture of coke and refined petroleum products ;C19;13 156
ESP;K;Manufacture of chemicals and chemical products ;C20;16 189
ESP;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;8 482
ESP;K;Manufacture of rubber and plastic products;C22;16 646
ESP;K;Manufacture of other non-metallic mineral products;C23;14 872
ESP;K;Manufacture of basic metals;C24;14 722
ESP;K;Manufacture of fabricated metal products, except machinery and equipment;C25;24 035
ESP;K;Manufacture of computer, electronic and optical products;C26;4 406
ESP;K;Manufacture of electrical equipment;C27;6 035
ESP;K;Manufacture of machinery and equipment n.e.c.;C28;6 338
ESP;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;9 634
ESP;K;Manufacture of other transport equipment;C30;6 631
ESP;K;"Manufacture of furniture; other manufacturing";C31_C32;4 072
ESP;K;Repair and installation of machinery and equipment;C33;4 446
ESP;K;Electricity, gas, steam and air conditioning supply;D35;127 562
ESP;K;Water collection, treatment and supply;E36;26 827
ESP;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;34 403
ESP;K;Construction;F;352 411
ESP;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;20 498
ESP;K;Wholesale trade, except of motor vehicles and motorcycles;G46;71 098
ESP;K;Retail trade, except of motor vehicles and motorcycles;G47;69 824
ESP;K;Land transport and transport via pipelines;H49;86 450
ESP;K;Water transport;H50;3 607
ESP;K;Air transport;H51;10 496
ESP;K;Warehousing and support activities for transportation;H52;67 085
ESP;K;Postal and courier activities;H53;9 164
ESP;K;Accommodation and food service activities;I;47 405
ESP;K;Publishing activities;J58;7 899
ESP;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;12 741
ESP;K;Telecommunications;J61;55 389
ESP;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;10 969
ESP;K;Financial service activities, except insurance and pension funding;K64;36 331
ESP;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;11 362
ESP;K;Activities auxiliary to financial services and insurance activities;K66;5 758
ESP;K;Real estate activities;L68;1 207 701
ESP;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;23 483
ESP;K;"Architectural and engineering activities; technical testing and analysis";M71;14 514
ESP;K;Scientific research and development;M72;5 401
ESP;K;Advertising and market research;M73;5 072
ESP;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;4 369
ESP;K;Administrative and support service activities;N;37 255
ESP;K;"Public administration and defence; compulsory social security";O84;334 378
ESP;K;Education;P85;78 730
ESP;K;Human health and social work activities;Q;64 316
ESP;K;Other service activities;R_S;89 321
ESP;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
ESP;K;Activities of extraterritorial organizations and bodies;U;0
EST;K;Crop and animal production, hunting and related service activities;A01;1 165
EST;K;Forestry and logging;A02;755
EST;K;Fishing and aquaculture;A03;137
EST;K;Mining and quarrying;B;496
EST;K;Manufacture of food products, beverages and tobacco products;C10-C12;1 257
EST;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;264
EST;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;789
EST;K;Manufacture of paper and paper products;C17;105
EST;K;Printing and reproduction of recorded media;C18;143
EST;K;Manufacture of coke and refined petroleum products ;C19;221
EST;K;Manufacture of chemicals and chemical products ;C20;301
EST;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;37
EST;K;Manufacture of rubber and plastic products;C22;171
EST;K;Manufacture of other non-metallic mineral products;C23;383
EST;K;Manufacture of basic metals;C24;32
EST;K;Manufacture of fabricated metal products, except machinery and equipment;C25;590
EST;K;Manufacture of computer, electronic and optical products;C26;217
EST;K;Manufacture of electrical equipment;C27;200
EST;K;Manufacture of machinery and equipment n.e.c.;C28;197
EST;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;174
EST;K;Manufacture of other transport equipment;C30;37
EST;K;"Manufacture of furniture; other manufacturing";C31_C32;283
EST;K;Repair and installation of machinery and equipment;C33;209
EST;K;Electricity, gas, steam and air conditioning supply;D35;5 191
EST;K;Water collection, treatment and supply;E36;790
EST;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;617
EST;K;Construction;F;1 281
EST;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;381
EST;K;Wholesale trade, except of motor vehicles and motorcycles;G46;1 320
EST;K;Retail trade, except of motor vehicles and motorcycles;G47;1 071
EST;K;Land transport and transport via pipelines;H49;1 746
EST;K;Water transport;H50;150
EST;K;Air transport;H51;40
EST;K;Warehousing and support activities for transportation;H52;2 419
EST;K;Postal and courier activities;H53;165
EST;K;Accommodation and food service activities;I;526
EST;K;Publishing activities;J58;78
EST;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;95
EST;K;Telecommunications;J61;305
EST;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;681
EST;K;Financial service activities, except insurance and pension funding;K64;229
EST;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;34
EST;K;Activities auxiliary to financial services and insurance activities;K66;28
EST;K;Real estate activities;L68;22 780
EST;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;744
EST;K;"Architectural and engineering activities; technical testing and analysis";M71;324
EST;K;Scientific research and development;M72;389
EST;K;Advertising and market research;M73;236
EST;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;119
EST;K;Administrative and support service activities;N;747
EST;K;"Public administration and defence; compulsory social security";O84;4 757
EST;K;Education;P85;1 982
EST;K;Human health and social work activities;Q;1 079
EST;K;Other service activities;R_S;1 529
EST;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
EST;K;Activities of extraterritorial organizations and bodies;U;0
FIN;K;Crop and animal production, hunting and related service activities;A01;15 219
FIN;K;Forestry and logging;A02;4 813
FIN;K;Fishing and aquaculture;A03;64
FIN;K;Mining and quarrying;B;3 065
FIN;K;Manufacture of food products, beverages and tobacco products;C10-C12;5 215
FIN;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;315
FIN;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;2 302
FIN;K;Manufacture of paper and paper products;C17;9 838
FIN;K;Printing and reproduction of recorded media;C18;701
FIN;K;Manufacture of coke and refined petroleum products ;C19;2 495
FIN;K;Manufacture of chemicals and chemical products ;C20;4 419
FIN;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;2 382
FIN;K;Manufacture of rubber and plastic products;C22;1 407
FIN;K;Manufacture of other non-metallic mineral products;C23;1 671
FIN;K;Manufacture of basic metals;C24;4 505
FIN;K;Manufacture of fabricated metal products, except machinery and equipment;C25;2 540
FIN;K;Manufacture of computer, electronic and optical products;C26;13 003
FIN;K;Manufacture of electrical equipment;C27;1 780
FIN;K;Manufacture of machinery and equipment n.e.c.;C28;4 253
FIN;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;672
FIN;K;Manufacture of other transport equipment;C30;775
FIN;K;"Manufacture of furniture; other manufacturing";C31_C32;656
FIN;K;Repair and installation of machinery and equipment;C33;732
FIN;K;Electricity, gas, steam and air conditioning supply;D35;24 935
FIN;K;Water collection, treatment and supply;E36;3 987
FIN;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;5 857
FIN;K;Construction;F;5 183
FIN;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;1 908
FIN;K;Wholesale trade, except of motor vehicles and motorcycles;G46;6 697
FIN;K;Retail trade, except of motor vehicles and motorcycles;G47;6 071
FIN;K;Land transport and transport via pipelines;H49;4 809
FIN;K;Water transport;H50;3 112
FIN;K;Air transport;H51;1 630
FIN;K;Warehousing and support activities for transportation;H52;6 286
FIN;K;Postal and courier activities;H53;674
FIN;K;Accommodation and food service activities;I;2 272
FIN;K;Publishing activities;J58;1 021
FIN;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;1 289
FIN;K;Telecommunications;J61;5 287
FIN;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;2 573
FIN;K;Financial service activities, except insurance and pension funding;K64;656
FIN;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;836
FIN;K;Activities auxiliary to financial services and insurance activities;K66;106
FIN;K;Real estate activities;L68;360 279
FIN;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;818
FIN;K;"Architectural and engineering activities; technical testing and analysis";M71;1 373
FIN;K;Scientific research and development;M72;4 026
FIN;K;Advertising and market research;M73;197
FIN;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;265
FIN;K;Administrative and support service activities;N;3 587
FIN;K;"Public administration and defence; compulsory social security";O84;69 128
FIN;K;Education;P85;22 028
FIN;K;Human health and social work activities;Q;18 490
FIN;K;Other service activities;R_S;15 748
FIN;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
FIN;K;Activities of extraterritorial organizations and bodies;U;0
FRA;K;Crop and animal production, hunting and related service activities;A01;106 277
FRA;K;Forestry and logging;A02;8 630
FRA;K;Fishing and aquaculture;A03;2 653
FRA;K;Mining and quarrying;B;16 087
FRA;K;Manufacture of food products, beverages and tobacco products;C10-C12;40 424
FRA;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;4 689
FRA;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;4 421
FRA;K;Manufacture of paper and paper products;C17;6 439
FRA;K;Printing and reproduction of recorded media;C18;6 003
FRA;K;Manufacture of coke and refined petroleum products ;C19;4 873
FRA;K;Manufacture of chemicals and chemical products ;C20;30 245
FRA;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;24 445
FRA;K;Manufacture of rubber and plastic products;C22;13 459
FRA;K;Manufacture of other non-metallic mineral products;C23;9 081
FRA;K;Manufacture of basic metals;C24;7 575
FRA;K;Manufacture of fabricated metal products, except machinery and equipment;C25;31 608
FRA;K;Manufacture of computer, electronic and optical products;C26;34 296
FRA;K;Manufacture of electrical equipment;C27;8 252
FRA;K;Manufacture of machinery and equipment n.e.c.;C28;13 465
FRA;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;27 607
FRA;K;Manufacture of other transport equipment;C30;37 115
FRA;K;"Manufacture of furniture; other manufacturing";C31_C32;4 685
FRA;K;Repair and installation of machinery and equipment;C33;15 997
FRA;K;Electricity, gas, steam and air conditioning supply;D35;121 679
FRA;K;Water collection, treatment and supply;E36;14 872
FRA;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;49 803
FRA;K;Construction;F;48 087
FRA;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;13 452
FRA;K;Wholesale trade, except of motor vehicles and motorcycles;G46;48 104
FRA;K;Retail trade, except of motor vehicles and motorcycles;G47;42 815
FRA;K;Land transport and transport via pipelines;H49;67 340
FRA;K;Water transport;H50;2 774
FRA;K;Air transport;H51;12 980
FRA;K;Warehousing and support activities for transportation;H52;54 421
FRA;K;Postal and courier activities;H53;14 161
FRA;K;Accommodation and food service activities;I;37 896
FRA;K;Publishing activities;J58;12 957
FRA;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;11 927
FRA;K;Telecommunications;J61;46 276
FRA;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;35 563
FRA;K;Financial service activities, except insurance and pension funding;K64;56 522
FRA;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;13 687
FRA;K;Activities auxiliary to financial services and insurance activities;K66;15 912
FRA;K;Real estate activities;L68;4 680 166
FRA;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;37 912
FRA;K;"Architectural and engineering activities; technical testing and analysis";M71;15 259
FRA;K;Scientific research and development;M72;93 417
FRA;K;Advertising and market research;M73;4 625
FRA;K;"Other professional, scientific and technical activities; veterinary activities";M74_M75;3 188
FRA;K;Administrative and support service activities;N;68 448
FRA;K;"Public administration and defence; compulsory social security";O84;725 754
FRA;K;Education;P85;126 334
FRA;K;Human health and social work activities;Q;129 454
FRA;K;Other service activities;R_S;105 627
FRA;K;"Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use";T;0
FRA;K;Activities of extraterritorial organizations and bodies;U;0
GBR;K;Crop and animal production, hunting and related service activities;A01;36 224
GBR;K;Forestry and logging;A02;1 376
GBR;K;Fishing and aquaculture;A03;1 261
GBR;K;Mining and quarrying;B;75 079
GBR;K;Manufacture of food products, beverages and tobacco products;C10-C12;40 651
GBR;K;Manufacture of textiles, wearing apparel and leather products;C13-C15;4 481
GBR;K;"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials";C16;2 651
GBR;K;Manufacture of paper and paper products;C17;5 591
GBR;K;Printing and reproduction of recorded media;C18;8 907
GBR;K;Manufacture of coke and refined petroleum products ;C19;5 956
GBR;K;Manufacture of chemicals and chemical products ;C20;24 997
GBR;K;Manufacture of basic pharmaceutical products and pharmaceutical preparations;C21;14 744
GBR;K;Manufacture of rubber and plastic products;C22;9 983
GBR;K;Manufacture of other non-metallic mineral products;C23;8 456
GBR;K;Manufacture of basic metals;C24;25 317
GBR;K;Manufacture of fabricated metal products, except machinery and equipment;C25;15 806
GBR;K;Manufacture of computer, electronic and optical products;C26;11 322
GBR;K;Manufacture of electrical equipment;C27;6 038
GBR;K;Manufacture of machinery and equipment n.e.c.;C28;11 916
GBR;K;Manufacture of motor vehicles, trailers and semi-trailers;C29;28 770
GBR;K;Manufacture of other transport equipment;C30;13 719
GBR;K;"Manufacture of furniture; other manufacturing";C31_C32;6 080
GBR;K;Repair and installation of machinery and equipment;C33;5 416
GBR;K;Electricity, gas, steam and air conditioning supply;D35;101 399
GBR;K;Water collection, treatment and supply;E36;58 894
GBR;K;"Sewerage; waste collection, treatment and disposal activities; materials recovery; remediation activities and other waste management services ";E37-E39;61 621
GBR;K;Construction;F;396 838
GBR;K;Wholesale and retail trade and repair of motor vehicles and motorcycles;G45;17 560
GBR;K;Wholesale trade, except of motor vehicles and motorcycles;G46;49 113
GBR;K;Retail trade, except of motor vehicles and motorcycles;G47;139 023
GBR;K;Land transport and transport via pipelines;H49;131 669
GBR;K;Water transport;H50;2 820
GBR;K;Air transport;H51;12 591
GBR;K;Warehousing and support activities for transportation;H52;119 407
GBR;K;Postal and courier activities;H53;3 596
GBR;K;Accommodation and food service activities;I;80 898
GBR;K;Publishing activities;J58;13 597
GBR;K;"Motion picture, video and television programme production, sound recording and music publishing activities; programming and broadcasting activities";J59_J60;47 842
GBR;K;Telecommunications;J61;70 247
GBR;K;"Computer programming, consultancy and related activities; information service activities";J62_J63;18 379
GBR;K;Financial service activities, except insurance and pension funding;K64;53 983
GBR;K;Insurance, reinsurance and pension funding, except compulsory social security;K65;53 620
GBR;K;Activities auxiliary to financial services and insurance activities;K66;12 314
GBR;K;Real estate activities;L68;1 514 922
GBR;K;"Legal and accounting activities; activities of head offices; management consultancy activities";M69_M70;21 405
GBR;K;"Architectural and engineering activities; technical testing and analysis";M71;12 016
GBR;K;Scientific research and development;M72;14 041
GBR;K;Advertising and market research;M73;3 830
