PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU,,
E,422,44.73,1150.40,219.89,885,738.92,658.35,186.14,575,3518,132.97,108.79,184.70,481,258,587.02,8381,1433.46,1881,445,399.46,602,332.81,318.21,252,814,894,349.90,411,1008,3056.81,654.99,608.46,234.44,304,110,0.00,0.00,32639.69,11144.29,0.00,0.00,11144.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4536.00,15680.29,48319.98,,
F,313,59.48,177.46,38.92,86,429.61,95.58,24.3,126,302,79.43,75.19,428.95,354,211,1373.29,620,38619.75,482,443,79.84,557,612.58,119.54,1144,3974,369,1006.17,103,894,3268.56,1117.72,252.96,486.64,942,87,0,0,59353.42,14675.9,0,0,14675.9,191770.61,0,-360,-360,191410.61,,,,,0,206086.51,265439.93,,
G,3864,384.51,10932.82,1387.66,2468,1517.72,3345.41,1689.82,3238,4786,1654.63,1560.48,2640.38,8571,4285,1481.55,1095,12727.06,20017,3905,5568.67,2037,1328.04,865.21,764,761,2241,874.31,600,2298,1376.52,1097.94,3674.09,626.94,1322,713,0.00,0.00,117699.59,170317.88,0.00,13000.91,183318.78,17017.00,216.00,0.00,216.00,17233.00,0.00,0.00,0.00,0.00,53411.00,253962.79,371662.38,,
H,798,182.07,4543.81,473.61,1462,1464.15,2014.21,523.14,1725,1962,464.66,403.78,662.15,2006,906,1403.03,933,4081.34,28477,36192,2203.49,1982,1761.42,1074.05,2200,906,3439,1107.74,674,3437,4578.25,2037.41,1024.94,525.68,1137,682,0.00,0.00,119446.04,37889.88,0.00,2549.25,40439.13,1190.01,0.00,0.00,0.00,1190.01,0.00,0.00,0.00,0.00,38619.63,80248.76,199694.80,,
I,38,55.91,379.56,43.67,114,153.84,213.24,118.79,217,336,84.55,63.98,127.03,306,179,162.69,192,372.16,6370,1425,2347.38,602,405.23,684.77,808,486,1958,418.16,287,2293,354.4,638.63,329.34,1612.76,560,178,0,0,24913.93,66550.97,0,550,67100.97,0,0,0,0,0,,,,,0,67100.97,92014.9,,
J58-60,150,2.04,255.69,25.77,51,60.14,109.81,51.32,59,92,80.95,33.67,52.34,165,66,227.43,167,355.65,1925,368,132.23,3644,921.79,1819.59,2977,325,2480,774.66,949,1738,1044.13,646.62,261.15,164.70,779,347,0.00,0.00,23303.79,16807.08,0.00,564.00,17371.08,11450.10,0.00,26.00,26.00,11476.10,0.00,0.00,0.00,0.00,3628.00,32475.18,55778.97,,
J61,39,27.89,245.32,56.71,102,127.12,154.97,91.71,90,133,61.05,73.74,125.25,201,118,272.93,144,633.43,5634,783,475.92,512,12461.18,1335.54,4641,431,2496,874.55,299,2544,889.37,403.95,451.73,78.16,505,205,0,0,37716.48,27684.5,0,0,27684.5,0,0,0,0,0,,,,,3529,31213.5,68929.98,,
J62_63,2,4.01,440.54,65.77,163,272.7,236.7,89.03,154,208,312.52,78.6,127.68,266,151,416.71,214,699.4,2444,517,165.26,603,943.39,6875.12,4915,391,1508,560.39,254,1454,921.18,213.54,225.74,139.98,189,233,0,0,26453.96,1544,0,0,1544,39162,0,35,35,39197,,,,,2580,43321,69774.96,,
K,1853,164.79,2727.28,306.23,628,494.92,827.61,275.92,524,833,316.95,225.22,409.73,844,486,672.96,1128,4498.78,12827,5748,1520.96,845,2097.80,597.03,60032,20119,7872,815.98,911,3449,2997.14,658.03,2107.18,229.85,550,1178,0.00,0.00,141770.77,52895.25,0.00,0.00,52895.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10133.00,63028.25,204799.02,,
L,21,79,638,75,378,202,365,271,364,582,122,45,195,405,191,200,256,806,17029,2370,1743,809,1201,1743,5874,9171,5943,1711,579,6062,1664,545,1087,816,716,522,0,0,64781,202862,0,13892,216754,4564,0,0,0,4564,0,0,0,0,0,221318,286099,,
