PROD_NA/INDUSE,A,B,C10-12,C13-15,C16-18,C19,C20,C21,C22-23,C24-25,C26,C27,C28,C29-30,C31-33,D,E,F,G,H,I,J58-60,J61,J62_63,K,L,M69-71,M72,M73-75,N,O,P,Q86,Q87_88,R,S,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
O,1.39,3.57,176.75,13.26,32.68,53.4,13.88,34.78,60.62,48.99,8.29,21.97,5.63,136.7,16.31,21.13,8.55,8.62,507.22,66.58,15.62,17.24,13.08,39.05,19.23,47.23,164.55,16.31,28.96,74.31,210.66,53.31,6.54,84.05,49.75,10.26,0,0,2090.51,1450.89,0,130881.8,132332.69,0,0,0,0,0,0,0,0,0,0,132332.69,134423.2
P,5.95,12.43,63.97,36.54,28.6,16.36,14.76,30.13,53.1,80.63,50.92,33.82,81.02,58.33,62.99,25.63,81.13,129.47,556.82,147.49,133.94,62.98,86.34,147.03,45.91,23.41,191.75,36.19,42.06,230.52,883.51,398.91,215.58,150.44,102.91,174.19,0,0,4495.76,11572.03,580.16,59151.1,71303.3,0,0,0,0,0,11.61,9.61,2,7.61,19.22,71322.52,75818.28
Q86,0.56,2.24,14.06,4.43,3.03,1.91,0.93,0.56,7.74,15.94,2.22,4.25,9.96,17.94,105.42,7.85,19.7,55.51,37.26,14.09,26.21,9.14,14.45,23.21,6.24,11.84,15.5,56.97,90.79,43.67,659.43,148.03,7709.79,254.77,26.69,13.82,0,0,9436.15,17024.52,342.82,90655.7,108023.04,0,0,0,0,0,15.02,14.32,0.7,16.72,31.74,108054.78,117490.93
Q87_88,0.01,0.1,0.19,0.09,0.09,0.02,0.02,0.02,0.09,0.1,0.04,0.05,0.05,0.12,17.08,0.08,0.53,0.22,6.9,3.5,17.9,1.09,0.05,3.28,1.36,2.18,1.03,8.67,7.15,3.73,12.26,2.02,1243.09,1738.61,1.74,2.49,0,0,3075.95,3315.61,844.6,15857.9,20018.11,0,0,0,0,0,0,0,0,0,0,20018.11,23094.06
R,11.88,19.79,855.84,184.47,185.56,47.53,31.02,61.5,199.31,104.15,51.4,126.48,40.84,137.64,89.31,93.44,13.77,398.84,1347.37,106.55,471.21,985.13,453.5,92.13,51.51,193.99,549.28,38.2,130.69,541.19,447.1,28.08,5.55,4.7,7249.74,184,0,0,15532.72,13834.73,2232.85,5339.6,21407.17,334.38,78.86,0,78.86,413.24,98.34,65.45,32.9,232.86,331.2,22151.62,37684.34
S,199.58,9.28,166.52,62.23,47.86,39.08,19.4,25.55,80.15,163.9,42.6,46.94,64.67,183.07,106.7,259.8,28.17,857.61,657.43,173.21,186.38,32.47,276.25,75.68,38.7,61.87,212.4,99.77,48.29,243.68,53.52,16.45,1411.47,35.35,142.26,226.81,0,0,6395.08,23746.59,2741.19,599.1,27086.88,186.27,0,0,0,186.27,79.66,60.64,19.03,41.59,121.25,27394.41,33789.48
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18006.42,0,0,18006.42,0,0,0,0,0,0,0,0,0,0,18006.42,18006.42
U,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL,21851.52,4979.92,96298.7,54076.12,35496.42,53354.11,38817.31,12654.95,49693,99425.06,13145.3,27895.97,64882.64,44072.16,44844.36,52166.34,26879.46,162078.11,167519.93,91459.95,52181.76,17769.59,21473.13,25448.72,51150.53,32329.61,50224.29,13816.67,28821.78,56618.93,29186,10500.26,40523.87,10212.22,20386.09,12696.08,0,0,1634930.89,878534.37,8778.86,326990.25,1214303.48,304867.14,2069.6,7287.67,9357.27,314224.41,212613.84,158331.69,54282.15,163241.42,375855.26,1904383.15,3539314.04
P2_ADJ,22276.84,5064.1,96900.11,54886.85,35789.9,53768.95,39648.04,12767.39,50333.95,100051.86,13252.33,28080.85,65410.69,44416.26,45565.39,51395.47,28029.67,163825.53,170450.93,96200.91,53761.23,17923.89,21557.94,26124.09,56045.73,33195.55,51338.74,14357.51,29286.93,57666.97,32854.51,11563.79,44939.75,11041.49,21637.01,13325.09,0,0,1674736.28,983043.63,8778.86,327648,1319470.49,320001.68,2240.69,7288.04,9528.73,329530.4,213030.98,158719.04,54311.94,163813.89,376844.87,2025845.76,3700582.04
