PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
H50,0,0,0,0,5,0,0,1,0,0,14,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,,,138,4,0,0,5,0,,0,0,0,,,,,35,39,178
H51,2,0,0,1,9,1,2,1,2,1,2,1,2,3,6,3,6,2,5,10,0,6,1,4,0,1,7,1,13,0,0,106,119,7,1,0,0,1,6,7,4,0,2,6,1,0,1,3,0,0,271,0,0,0,2,0,0,0,0,0,0,,,626,202,0,1,202,5,,0,0,5,,,,,950,1157,1783
H52,44,31,0,220,24,0,0,2,0,45,13,21,21,140,57,56,27,21,35,57,0,42,0,49,6,24,65,14,821,1468,29,403,1568,66,0,1,7,0,4,0,1,0,0,15,19,4,1,0,45,1,187,4,12,0,15,0,0,15,17,0,0,,,5717,29,0,2614,2643,0,,0,0,0,,,,,782,3425,9142
H53,2,1,0,0,1,1,1,2,1,0,0,0,2,3,1,7,1,0,0,12,0,3,1,42,5,1,19,1,138,7,0,1,34,235,3,55,2,50,7,177,138,17,34,19,17,6,30,15,2,2,6,21,203,23,8,5,11,3,5,1,3,,,1384,66,0,0,66,0,,0,0,0,,,,,43,109,1493
I,13,5,0,5,13,3,2,1,1,0,0,0,3,0,6,3,0,0,5,17,0,4,20,21,2,10,174,14,193,214,0,20,9,0,85,0,1,5,37,11,11,9,162,69,77,28,51,10,20,82,221,15,101,54,128,6,26,30,23,1,19,,,2041,4118,2,66,4185,0,,0,0,0,,,,,2315,6500,8540
J58,6,0,0,0,0,0,0,0,10,0,3,0,0,2,0,0,4,1,4,0,0,1,0,5,0,0,1,0,42,0,0,0,13,1,1,92,0,0,4,1,1,0,2,6,3,8,23,0,0,0,1,6,3,49,2,1,3,4,11,0,0,,,314,381,1,0,381,122,,-6,-6,115,,,,,1180,1677,1991
J59_60,0,0,0,0,3,0,0,0,11,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,597,5,0,0,0,0,1,0,0,1,112,0,0,0,3,8,0,0,1,0,6,3,1,0,0,,,799,350,1,283,634,242,,-7,-7,235,,,,,322,1192,1991
J61,5,10,0,2,23,5,4,3,2,1,1,2,37,8,2,26,7,2,23,19,2,9,29,41,5,9,102,13,234,71,0,3,55,26,39,11,58,1474,75,60,46,7,52,71,93,6,35,26,8,9,7,20,337,35,32,11,27,4,4,16,11,,,3352,1859,0,5,1864,0,,0,0,0,,,,,347,2211,5562
J62_63,6,4,0,2,23,3,5,7,23,1,6,6,2,3,0,0,9,34,10,62,0,12,249,7,2,7,34,4,173,2,0,0,102,12,19,10,6,14,1614,463,63,5,60,123,153,0,69,5,46,4,2,21,70,52,21,0,62,17,5,40,2,,,3757,0,0,10,10,2039,,6,6,2045,,,,,919,2975,6732
K64,106,19,0,33,60,20,15,34,20,4,21,77,72,46,38,131,8,29,127,139,20,16,38,113,5,48,461,24,488,571,0,96,37,8,49,0,31,23,7,463,66,236,1705,317,228,12,49,13,131,24,32,109,125,41,85,10,74,50,39,22,10,,,6877,1248,0,22,1271,0,,0,0,0,,,,,141,1411,8289
K65,23,4,0,4,8,4,12,4,4,1,6,3,7,6,6,21,1,6,17,16,2,8,6,27,1,20,61,16,123,88,0,2,26,2,19,1,3,3,6,198,532,12,16,44,19,3,19,7,17,1,0,14,14,30,33,12,8,5,8,1,4,,,1558,1766,0,2,1768,0,,0,0,0,,,,,240,2008,3566
K66,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,1,0,0,0,3,0,0,0,2,0,0,0,0,35,0,0,0,0,0,2,0,0,0,0,132,436,381,0,1,1,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,1033,229,0,4,233,0,,27,27,27,,,,,63,323,1356
L,27,12,0,3,37,19,8,9,9,1,5,8,15,4,30,6,21,9,44,38,0,31,54,32,112,8,422,66,1745,4,0,7,225,11,436,12,29,63,218,301,62,33,1544,156,270,0,173,130,22,12,14,76,243,194,121,31,262,17,4,27,43,,,7513,13398,14,326,13738,15,,0,0,15,,,,,122,13875,21388
M69_70,24,13,0,10,76,20,13,22,11,2,107,41,67,37,10,30,79,26,126,219,14,55,24,34,2,28,206,44,709,56,0,1,72,19,121,18,5,16,113,167,30,30,324,1405,114,0,136,121,12,40,2,41,160,61,88,4,23,5,5,7,16,,,5257,17,2,23,41,0,,0,0,0,,,,,1385,1426,6684
M71,4,2,0,22,17,1,0,0,0,0,1,23,5,13,0,95,12,0,1,16,0,0,5,16,20,23,4479,0,52,4,0,0,2,0,10,0,0,0,0,0,0,0,20,20,951,19,18,17,2,17,0,4,42,2,5,1,2,1,7,0,0,,,5951,33,0,94,128,49,,26,26,74,,,,,635,837,6788
M72,0,0,0,0,0,1,0,0,0,0,3,7,16,1,2,1,29,0,3,257,6,1,35,4,0,1,5,0,4,0,0,0,0,0,0,0,0,0,9,7,7,0,0,2,2,40,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,,,448,0,1,319,320,1885,,0,0,1885,,,,,126,2331,2779
M73,1,0,0,6,182,1,3,0,2,1,11,95,6,2,2,4,0,1,0,38,2,10,8,5,13,8,164,110,523,0,0,4,0,3,67,0,12,61,14,178,29,10,71,120,149,0,2614,30,5,15,13,20,18,28,0,0,68,0,1,4,4,,,4738,0,0,0,0,0,,27,27,27,,,,,509,536,5273
M74_75,128,10,0,10,31,24,0,1,2,2,17,8,6,7,0,8,12,34,62,18,0,9,9,9,1,68,226,5,148,0,0,0,16,0,0,27,1,7,34,77,6,1,56,24,126,0,54,263,3,5,2,24,355,36,17,5,7,44,9,5,0,,,2056,117,8,20,145,0,,2,2,2,,,,,90,237,2292
N77,2,0,0,18,77,3,13,6,12,5,27,9,4,3,9,8,9,7,66,28,0,16,30,0,2,8,414,55,403,336,2,40,32,10,61,1,57,10,78,3,10,5,57,32,15,0,63,23,53,1,0,23,11,7,43,0,132,0,0,3,10,,,2351,179,0,0,179,0,,0,0,0,,,,,164,343,2695
N78,2,0,0,0,17,0,1,1,1,0,4,1,13,3,16,25,32,10,37,63,8,6,4,0,0,1,19,0,37,2,0,3,10,2,2,0,0,3,25,0,0,0,0,3,1,0,1,0,1,8,0,17,1,1,0,0,0,1,0,6,1,,,393,15,0,0,15,0,,0,0,0,,,,,21,36,429
N79,1,1,0,0,0,0,0,0,0,0,0,0,1,4,3,2,4,3,1,5,1,0,0,5,1,3,0,0,18,5,0,0,0,0,20,0,0,0,0,3,0,0,11,2,2,3,0,1,5,1,405,1,4,0,1,0,0,5,1,0,0,,,524,1155,1,0,1156,0,,0,0,0,,,,,53,1208,1733
N80-82,19,5,0,26,28,3,4,6,1,2,12,3,8,16,7,17,3,16,19,41,3,0,1,25,21,56,113,14,293,54,0,1,59,4,125,0,4,5,88,193,43,6,417,22,69,2,14,42,7,7,0,864,524,42,53,2,27,48,15,8,3,,,3512,74,1,6,81,0,,0,0,0,,,,,273,354,3866
O,22,2,0,5,4,2,1,1,4,3,0,1,4,4,3,6,1,1,0,9,2,0,0,12,6,23,23,0,0,0,0,0,46,0,0,0,0,0,6,0,27,0,8,6,9,0,0,0,4,1,2,2,190,1,11,0,6,8,7,0,0,,,473,45,2,12826,12874,0,,0,0,0,,,,,90,12964,13437
P,4,3,0,1,5,0,1,2,0,0,1,2,1,2,2,2,0,2,5,2,0,1,3,13,2,1,11,6,30,5,0,2,10,19,1,1,0,5,22,40,21,7,35,38,7,3,12,33,0,7,0,2,108,324,9,0,2,2,4,3,1,,,822,667,117,5674,6457,0,,0,0,0,,,,,54,6511,7333
Q86,0,0,0,0,2,0,0,0,0,0,0,13,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,5,4,0,0,1,0,3,0,0,0,0,0,0,2,0,0,1,2,0,0,1,0,1,0,12,0,125,9,0,0,1,0,0,,,188,632,31,7130,7793,0,,0,0,0,,,,,406,8199,8387
Q87_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,7,31,0,2,2,0,0,,,50,401,143,681,1225,0,,0,0,0,,,,,13,1238,1288
R90-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,0,0,0,0,0,11,0,0,0,4,0,1,0,0,0,1,0,2,0,72,6,12,0,0,,,131,1497,19,502,2018,33,26,0,26,59,,,,,141,2217,2348
R93,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,11,0,0,0,2,0,0,0,1,0,0,0,1,1,1,197,29,0,14,,,272,387,210,106,703,0,,0,0,0,,,,,63,767,1039
S94,0,0,0,0,3,1,2,0,0,0,1,0,0,0,0,0,0,8,5,0,0,1,5,0,0,0,3,0,18,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,5,1,0,0,0,0,0,0,0,0,1,20,89,0,0,,,170,103,456,62,621,0,,0,0,0,,,,,1,621,791
S95,1,2,0,0,17,2,0,5,0,1,27,0,2,0,3,0,3,0,0,1,0,1,17,0,1,0,17,3,176,7,0,46,0,8,31,0,0,9,21,59,60,0,23,15,6,6,4,0,5,2,1,8,1,8,47,2,3,7,2,160,2,,,819,140,0,0,140,0,,0,0,0,,,,,135,275,1094
S96,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3,0,16,0,0,0,0,0,0,0,4,0,0,0,1,1,0,0,0,4,0,7,29,20,1,2,5,0,26,,,124,1074,0,14,1089,0,,0,0,0,,,,,179,1267,1392
T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,3572,665,46,1487,8894,1601,2286,1630,1112,4405,4052,770,5739,2886,6109,6769,9243,4861,6107,20830,1368,2082,2717,9090,472,2403,26943,2683,13191,6100,43,1068,4896,527,3684,831,952,2182,2655,2865,1940,825,8443,2756,3996,310,3877,1558,828,315,1415,1911,3843,1559,3187,389,1182,702,430,441,396,,,220119,66965,1071,32454,100490,40756,140,252,393,41149,,,,,104167,245806,465924
P2_ADJ,3671,694,46,1493,8917,1617,2324,1638,1117,4436,4315,767,5809,2921,6251,6809,9256,4869,6131,20933,1378,2089,2724,9161,476,2448,27179,2713,13691,6493,45,1178,5049,575,3805,831,982,2209,2696,2938,1951,833,8606,2826,4039,350,3898,1578,839,317,1428,1943,4308,1685,3377,430,1264,736,463,451,428,,,224426,75651,1073,32642,109366,42168,140,198,338,42506,,,,,104629,256502,480928
D1,1161,158,19,731,1489,518,402,282,278,36,486,167,1051,776,403,1917,507,1056,1594,2078,291,684,1135,542,59,663,4660,933,6849,2443,12,173,979,595,1377,317,186,594,1862,1452,405,200,18,1212,1129,1067,660,153,189,79,100,1377,5835,4174,3420,709,450,162,295,187,190,,,62929,,,,,,,,,,,,,,,,
D11,898,124,15,526,1120,393,306,213,210,29,368,127,797,579,298,1425,378,799,1205,1529,219,516,859,413,44,504,3630,721,5243,1872,9,131,744,450,1135,242,142,455,1417,1104,304,153,13,936,856,815,503,117,142,58,75,1045,4460,3136,2569,525,336,119,238,143,166,,,47899,,,,,,,,,,,,,,,,
