PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
C31_32,84,16,6,16,153,64,33,79,558,16,249,23,65,76,0,22,79,56,606,456,146,717,275,161,24,51,592,125,416,188,112,14,20,85,34,234,97,38,238,180,188,101,124,68,170,113,124,156,152,44,57,8,82,643,685,143,370,57,51,8,10,35,0,0,9799,12920,0,0,12920,4631,156,129,286,4917,0,,,0,8183,26020,35819
C33,54,8,48,671,349,27,99,34,9,49,147,23,214,106,174,356,505,410,845,1068,2894,218,1777,501,65,52,3165,279,400,107,287,444,423,251,23,121,14,27,438,210,34,30,30,30,17,162,298,35,139,66,24,22,61,0,24,1,43,120,52,5,38,10,0,0,18132,0,0,0,0,0,0,113,113,113,0,,,0,233,346,18478
D,434,15,58,769,2407,219,163,1135,133,687,1418,357,664,1475,930,754,248,205,483,504,340,223,251,36563,417,112,1207,359,1191,1668,767,58,110,191,176,1130,122,72,332,589,508,177,280,1043,329,448,293,187,114,378,267,43,386,1035,963,1215,414,307,160,28,35,45,0,0,67590,30829,0,0,30829,0,0,-2,-2,-2,0,,,0,316,31142,98732
E36,64,1,1,20,196,19,8,33,6,24,84,22,26,35,36,22,15,15,10,20,10,26,6,61,20,68,4,1,20,31,13,0,1,0,5,13,1,5,5,12,7,288,0,35,7,2,24,10,5,10,7,1,28,321,157,52,55,27,37,2,1,2,0,0,2037,4882,0,0,4882,0,0,0,0,0,0,,,0,2,4884,6921
E37-39,16,0,9,21,212,61,10,56,8,14,128,31,30,49,725,23,12,5,14,19,21,28,20,22,22,5606,284,99,245,150,155,33,62,61,47,298,43,114,56,82,70,26,59,86,75,91,107,133,49,92,31,13,357,2129,163,1876,118,63,110,13,8,77,0,0,14636,5190,0,7245,12435,34,0,0,0,34,0,,,0,5583,18051,32687
F,619,15,40,1134,309,83,71,104,141,220,284,86,122,129,83,133,9,28,124,120,242,185,105,983,388,563,55346,578,3897,12332,621,504,363,1149,311,2236,124,121,1172,592,1592,2251,90,21300,808,337,224,270,134,224,223,234,62,5521,757,699,290,595,135,197,23,147,0,0,121780,1205,0,0,1205,130760,0,-5011,-5011,125748,0,,,0,1662,128616,250396
G45,854,41,7,70,684,42,54,55,56,51,743,99,303,38,59,652,131,98,270,2913,188,147,208,83,24,174,2690,3175,2357,1109,2090,142,180,319,282,656,542,84,403,844,595,550,78,272,252,68,246,371,58,1200,149,76,301,577,332,430,283,97,58,28,68,120,0,0,29128,17414,0,0,17414,2054,0,0,0,2054,0,,,0,4173,23641,52769
G46,891,30,22,267,2899,497,166,945,719,248,2919,837,759,633,1536,1393,1116,719,1577,1752,685,761,667,889,68,189,3613,558,1250,648,239,28,77,82,49,2932,530,131,750,346,170,126,129,119,133,163,469,418,90,124,87,13,345,912,655,3511,436,119,92,2,55,169,0,0,42755,38648,0,0,38648,5403,0,0,0,5403,0,,,0,45695,89746,132501
G47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138870,0,0,138870,0,150,0,150,150,0,,,0,4412,143432,143432
H49,154,29,6,661,2157,224,231,413,240,105,868,111,225,842,277,309,127,140,64,181,89,225,85,24,9,1315,1461,1345,10744,2074,1146,24,37,660,395,863,255,63,190,323,653,410,71,133,354,225,289,314,166,418,128,274,197,1873,1317,1594,525,85,98,8,19,40,0,0,37880,23423,0,0,23423,328,0,0,0,328,0,,,0,2162,25913,63793
H50,5,0,17,321,54,9,0,8,55,24,51,5,8,27,28,21,19,9,9,37,23,20,13,5,0,44,71,82,337,45,50,3020,34,405,83,78,70,12,29,26,66,106,33,17,10,8,12,41,7,31,15,99,26,31,35,17,82,10,4,2,0,2,0,0,5811,5313,0,0,5313,176,0,0,0,176,0,,,0,8651,14140,19951
H51,12,0,0,139,91,12,0,13,10,22,83,13,13,44,59,24,29,14,19,49,121,16,30,5,0,90,136,205,555,150,110,75,799,568,661,238,69,122,97,197,1837,529,76,157,343,66,50,205,77,131,192,148,266,272,38,43,104,71,41,93,7,28,0,0,9661,13219,0,0,13219,0,0,0,0,0,0,,,0,5634,18853,28515
H52,17,2,10,31,136,50,9,14,64,26,78,125,33,30,38,44,43,16,47,73,70,27,34,122,7,90,641,729,9353,1018,4438,2097,1214,9117,175,670,9,132,459,683,1415,432,177,246,161,214,131,58,51,353,256,1,457,223,138,22,97,96,27,48,7,47,0,0,36628,1060,0,0,1060,0,0,0,0,0,0,,,0,3427,4487,41115
H53,35,2,0,62,406,17,12,52,15,38,185,272,31,76,45,45,4,10,16,37,29,14,10,26,4,71,254,246,1695,556,181,52,78,138,746,483,16,118,336,446,3617,1932,1624,372,748,241,119,208,56,159,127,13,240,1645,253,281,328,75,38,87,7,55,0,0,19080,1037,0,0,1037,0,0,0,0,0,0,,,0,1172,2209,21290
I,63,0,1,96,396,21,16,21,7,65,124,30,45,35,69,17,563,50,42,78,44,26,20,181,15,76,460,120,487,3008,240,71,307,238,7,957,29,174,182,309,831,1844,235,344,400,246,133,206,114,34,93,192,332,1499,830,662,9160,163,50,217,10,9,0,0,26303,91993,0,0,91993,0,0,0,0,0,0,,,0,10783,102776,129079
J58,0,6,0,2,84,16,5,29,127,10,49,108,24,27,8,29,4,14,33,35,33,28,19,105,21,24,52,62,118,97,26,7,17,93,24,79,1696,14,20,83,135,114,68,38,126,57,72,881,21,9,7,1,56,415,902,5,232,43,92,78,4,1,0,0,6580,7178,0,0,7178,2292,0,36,36,2328,0,,,0,3914,13421,20001
J59_60,0,0,0,0,0,0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,4,0,0,0,0,0,0,0,0,223,1,3540,0,30,0,0,0,1,7,0,19,367,0,0,1,0,1,276,247,42,71,353,255,246,0,10,0,0,5745,10088,0,5101,15189,2818,0,-84,-84,2734,0,,,0,5381,23304,29049
J61,219,4,6,31,112,38,14,20,28,20,61,78,42,35,26,80,58,26,66,31,26,41,29,105,30,139,761,388,2102,801,368,93,133,491,324,887,70,1371,4830,687,2751,1447,1499,866,1246,232,191,1043,150,263,239,111,523,2119,166,655,223,187,101,152,27,106,0,0,28972,18070,0,0,18070,933,0,0,0,933,0,,,0,5084,24086,53058
J62_63,0,1,1,324,515,93,37,89,112,114,337,548,106,82,223,126,163,122,203,270,613,156,192,660,126,136,2187,1602,3261,1624,1274,847,1140,492,712,1753,175,699,2074,4212,4036,2882,2766,1255,2248,1146,405,1100,673,537,452,342,1246,1799,874,1205,546,1708,211,560,310,542,0,0,54241,41,0,0,41,24865,0,2800,2800,27665,0,,,0,8047,35753,89993
K64,1034,10,17,1321,1998,304,228,252,78,501,1120,1264,457,540,255,729,202,265,358,1100,625,403,317,1676,163,702,3465,951,2559,2765,844,170,270,1079,380,2051,99,276,688,1315,7955,1562,591,37598,1772,831,513,582,507,734,1013,477,891,4454,28,625,125,518,92,64,66,415,0,0,94245,34344,0,0,34344,0,0,0,0,0,0,,,0,29902,64246,158491
K65,189,5,16,117,142,35,24,28,19,14,99,28,64,44,35,87,34,36,65,55,38,37,29,99,28,190,533,180,530,331,196,43,198,134,90,316,22,87,57,430,442,10294,44,3329,173,51,63,76,36,139,41,40,100,570,197,604,190,45,56,10,14,42,0,0,21257,33554,0,0,33554,0,0,0,0,0,0,,,0,15142,48696,69952
K66,0,0,0,9,34,9,0,6,7,22,82,12,9,38,22,20,13,14,10,27,23,12,14,6,5,97,297,44,463,218,57,131,104,43,21,107,23,17,118,640,3569,2593,3089,444,225,357,49,56,98,138,114,6,358,30,29,4,0,26,7,0,19,28,0,0,14015,2077,0,0,2077,30,0,0,0,30,0,,,0,22771,24879,38894
L,73,0,0,15,111,30,17,22,54,7,20,24,44,19,15,65,28,28,36,22,40,27,24,157,40,227,1353,166,2756,6044,330,157,279,274,110,926,57,57,399,331,2005,1921,28,891,211,62,246,112,36,77,55,168,160,3344,412,1455,184,188,89,7,19,118,0,0,26169,226636,206,0,226842,9418,0,0,0,9418,0,0,0,0,619,236879,263048
M69_70,28,0,5,978,912,132,29,58,69,70,516,438,128,72,48,120,73,83,139,541,161,127,87,401,45,205,3006,888,2386,6260,823,375,330,1028,274,1965,175,741,529,3498,11890,3214,525,1961,8849,2771,300,2950,962,1260,1969,184,3356,4844,543,1867,349,786,307,206,218,973,0,0,78031,106,80,0,187,3153,0,188,188,3341,0,,,0,9654,13182,91213
M71,29,0,0,324,420,75,21,55,89,45,187,185,115,71,69,101,326,71,149,156,578,87,149,409,55,192,4845,654,985,916,363,146,51,655,171,740,125,379,256,2146,1791,924,108,1712,1372,4135,256,719,766,748,907,136,1709,1047,280,1712,99,262,129,269,92,127,0,0,35695,462,0,0,462,4313,0,-304,-304,4009,0,,,0,6254,10725,46420
M72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,0,0,0,5107,1,0,0,0,0,0,118,13,1809,0,1,0,70,0,0,0,0,7151,0,261,0,261,28650,0,-15,-15,28635,0,,,0,4821,33717,40868
M73,63,1,1,57,1475,127,37,56,45,35,287,358,103,71,40,92,100,57,84,126,73,114,55,350,9,147,698,592,1207,1928,704,202,275,446,305,1109,683,509,718,1784,2752,1729,194,875,1203,635,110,680,228,621,226,52,733,1391,154,133,247,290,150,429,92,161,0,0,28209,44,0,0,44,13,0,296,296,309,0,,,0,4459,4812,33021
M74_75,125,0,1,30,105,7,5,8,6,30,180,55,24,15,14,104,173,23,27,33,37,14,26,47,4,149,530,212,498,203,188,33,40,190,85,325,12,166,96,1151,690,518,93,188,922,363,579,143,1281,148,72,20,1528,757,923,372,121,142,175,133,56,69,0,0,14259,3702,853,0,4556,0,0,185,185,185,0,,,0,11312,16053,30312
N77,85,13,5,565,473,59,44,66,108,33,218,48,135,235,113,340,104,97,111,184,117,99,105,208,37,1091,8419,780,561,183,2901,12,41,998,185,156,119,96,85,380,164,328,105,159,216,105,143,140,57,1107,141,197,191,199,1287,803,135,48,48,26,27,201,0,0,25435,7438,0,0,7438,0,0,0,0,0,0,,,0,979,8418,33852
N78,12,1,5,310,817,20,8,21,26,36,70,148,62,43,43,131,339,58,73,106,234,44,966,442,65,328,1200,64,1486,861,581,98,107,561,211,839,494,372,245,2400,2099,920,251,412,1856,709,688,575,300,347,4917,105,971,972,1020,2019,1773,287,1106,41,153,211,0,0,35656,2,0,0,2,0,0,1342,1342,1342,0,,,0,2504,3848,39504
N79,17,0,5,4,96,19,7,14,9,0,1,0,0,0,1,1,5,16,42,79,55,23,36,117,0,9,128,810,418,985,1701,1188,1037,287,188,1290,9,132,281,210,724,0,286,108,126,4,33,9,2,132,240,4247,10,105,300,48,8,36,0,0,0,0,0,0,15640,639,0,0,639,0,0,0,0,0,0,,,0,124,762,16403
N80-82,19,0,5,44,178,27,16,27,23,91,160,163,90,41,52,7,77,49,63,84,71,47,63,104,4,518,2734,685,2710,1504,987,89,251,801,297,1532,40,1074,366,3979,3793,1266,349,1013,4339,920,726,337,1928,514,42,188,10137,2082,2167,1194,649,1828,523,406,221,214,0,0,53906,225,619,0,844,660,0,301,301,961,0,,,0,25119,26923,80830
O,13,4,0,21,117,23,10,16,2,16,71,124,30,12,37,66,5,14,43,43,31,30,2,36,27,117,1392,33,127,318,2319,29,119,17,174,183,8,42,24,167,163,48,22,4636,261,3933,122,16,162,38,145,2,91,340,1,90,0,30,16,7,5,24,0,0,16023,5311,0,142524,147835,2911,0,0,0,2911,0,,,0,1435,152181,168204
P,10,0,0,12,77,19,2,13,8,13,78,86,34,20,14,35,29,13,34,41,44,22,20,82,9,124,261,41,249,284,125,36,118,232,194,323,9,133,359,449,1378,435,110,223,1289,420,677,326,121,35,266,49,279,5820,9026,181,477,82,43,58,26,114,0,0,25084,15281,31522,67759,114562,0,0,34,34,34,0,,,0,3110,117706,142790
Q86,0,0,1,21,8,5,1,1,1,5,8,13,5,1,5,6,2,2,5,5,7,2,4,14,1,20,16,7,28,7,6,2,4,5,5,20,1,13,9,21,31,254,4,33,12,4,126,5,146,5,6,1,14,212,13,12936,26,6,0,5,0,5,0,0,14120,14041,2868,131352,148261,0,0,0,0,0,0,,,0,361,148622,162742
Q87_88,0,0,0,8,10,0,0,2,27,0,0,0,0,0,0,0,13,1,0,0,0,2,0,0,0,1,23,28,2,68,14,0,0,19,0,79,237,0,0,41,5,14,0,6,2,0,31,120,304,10,0,0,7,20,166,1683,24116,50,62,49,0,43,0,0,27265,11220,7469,32985,51674,0,0,0,0,0,0,,,0,9,51683,78948
R90-92,0,0,0,0,0,0,0,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,26,27,0,1,6,0,0,6,0,8,298,273,460,7,204,488,5,1,16,52,10,31,283,7,6,40,0,44,529,202,38,104,2014,903,2223,0,9,0,0,8340,20182,2552,2316,25050,360,-43,1370,1327,1687,0,,,0,4049,30785,39125
R93,1,0,0,97,8,4,0,1,1,0,0,0,0,12,0,1,1,0,0,0,9,4,5,1,0,20,14,4,8,5,1,0,0,4,4,8,13,335,9,20,80,77,1,33,10,7,33,30,4,5,22,112,30,163,85,0,28,69,72,13,0,0,0,0,1458,7932,231,3078,11240,0,0,0,0,0,0,,,0,272,11511,12970
S94,0,6,0,0,16,2,0,2,4,7,13,23,8,0,2,9,7,5,7,9,12,6,5,29,4,7,40,2,24,24,34,2,9,89,41,224,7,1286,110,94,226,41,14,13,20,30,20,280,78,12,245,8,203,254,133,7,458,970,667,744,2,28,0,0,6620,3752,12656,0,16409,0,0,0,0,0,0,,,0,0,16409,23029
