PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
O,1,0,0,0,6,1,1,1,1,0,1,1,1,2,1,2,2,0,3,1,3,2,1,1,0,2,7,4,6,4,3,0,0,1,0,3,2,1,0,5,5,7,2,3,51,4,1,2,1,2,1,1,2,643,2,4,1,3,1,3,0,1,0,0,811,62,0,19781,19843,0,0,0,0,0,0,0,0,130,130,19973,20784
P,2,0,0,4,8,1,4,4,1,1,4,1,1,2,8,4,2,1,13,0,2,3,7,24,2,5,19,10,27,13,15,0,9,33,0,2,2,1,1,9,21,27,5,2,50,3,37,1,3,0,1,3,2,27,86,33,12,2,1,3,1,0,0,0,568,1290,759,13131,15180,0,0,0,0,0,11,8,3,7,18,15197,15765
Q86,0,0,0,1,7,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,4,2,2,0,1,1,1,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,15,7,383,91,0,0,0,0,0,0,0,536,3332,1656,14108,19096,0,0,0,0,0,118,105,13,27,144,19240,19776
Q87_88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172,1363,2842,6377,0,0,0,0,0,0,0,0,0,0,6377,6377
R90-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,40,107,80,6,0,0,0,0,0,0,0,0,6,0,0,0,8,0,0,0,0,0,119,1,0,0,0,0,0,406,1894,0,770,2664,113,117,0,117,230,109,87,22,70,179,3073,3480
R93,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,4,1,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,9,0,0,0,0,0,36,1238,137,278,1653,0,0,0,0,0,4,4,1,3,8,1660,1696
S94,0,0,0,1,9,2,2,2,2,0,2,1,2,3,3,4,1,0,8,2,1,3,3,0,0,2,23,4,26,19,4,0,0,2,0,9,4,0,0,7,8,4,1,4,52,4,1,3,3,4,2,1,5,2,1,11,0,2,1,15,0,2,0,0,278,146,1422,1295,2863,0,0,0,0,0,0,0,0,0,0,2863,3141
S95,1,0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,28,0,5,2,3,1,0,122,128,6,0,0,4,2,6,6,3,0,121,27,5,2,4,12,4,12,6,2,5,0,1,0,6,9,2,1,4,2,6,133,1,0,0,690,301,0,0,301,0,0,0,0,0,1,1,0,1,2,303,993
S96,0,0,0,1,2,18,0,0,0,0,0,0,0,1,1,1,0,0,2,0,1,0,1,0,0,1,1,2,11,6,3,0,2,1,1,113,0,0,4,0,1,1,1,1,3,1,0,0,2,2,1,0,1,21,1,77,33,2,1,0,0,47,0,0,369,2444,0,119,2563,0,0,0,0,0,1,0,1,0,1,2564,2933
T,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,177,0,0,0,0,0,0,0,0,0,0,177,177
