PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
B1G,4937,78,783,786,5157,993,254,300,393,1298,571,557,547,898,895,1530,115,478,549,161,128,610,926,2836,560,1677,9160,3258,12288,9130,4201,6385,705,2187,628,9680,1000,680,4783,1122,7676,1077,665,35451,4760,1063,1222,428,566,597,111,506,2021,19791,11144,10989,551,2281,281,2138,599,1218,1283,0,199644,,,,,,,,,,,,,,,,
P1,9594,120,1170,1441,17025,2529,796,1136,902,12854,1911,1385,1832,2970,4609,4267,213,1386,1225,347,263,1535,1647,6272,1049,2617,21430,5096,25195,14895,7880,15276,1776,4390,1080,19710,2419,1546,8252,2119,10430,2178,1494,39082,6872,2148,1914,2339,1496,1217,133,2059,3061,26994,12089,14939,1231,3467,632,5188,709,1520,1283,0,354633,,,,,,,,,,,,,,,,
IMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21X31,354,3,38,42,396,83,13,47,26,528,137,41,84,88,79,77,4,21,21,9,5,32,29,322,24,53,593,86,622,263,344,514,106,199,47,730,61,58,146,55,183,49,47,163,113,57,40,93,43,39,1,94,68,469,71,297,50,53,17,216,7,17,0,0,8569,14876,0,0,14876,3104,0,-161,-161,2943,0,0,0,0,0,17819,26388
P7_B0,815,31,51,73,4335,2068,246,856,5,1228,2960,2879,743,461,850,692,2440,1092,1776,1683,1321,1169,0,309,0,281,234,0,0,0,103,23,196,2165,23,0,487,237,283,334,1244,526,0,0,336,121,111,98,144,139,0,0,78,0,9,16,0,54,3,0,51,0,0,0,35378,,,,,,,,,,,,,,,,
P7_U2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
P7_U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,
P7_D0,587,5,43,9320,788,1678,88,216,3,2467,692,1206,274,192,1018,270,664,454,548,352,4823,947,0,118,0,181,19,0,0,0,46,42,88,3779,5,0,97,70,66,38,104,224,0,0,65,23,22,19,28,27,0,0,15,0,4,7,0,187,1,0,6,0,0,0,31918,,,,,,,,,,,,,,,,
P7,1403,36,94,9394,5123,3746,334,1072,8,3695,3652,4085,1017,653,1868,962,3103,1546,2324,2036,6144,2116,0,428,0,462,252,0,0,0,150,65,285,5943,28,0,584,307,348,371,1349,750,0,0,401,144,133,117,172,166,0,0,93,0,14,23,0,241,4,0,57,0,0,0,67296,,,,,,,,,,,,,,,,
TS_BP,10997,155,1265,10834,22148,6276,1130,2207,911,16549,5563,5470,2849,3623,6477,5229,3316,2932,3550,2383,6407,3651,1647,6700,1049,3079,21682,5096,25195,14895,8029,15340,2061,10334,1108,19710,3003,1852,8601,2490,11779,2928,1494,39082,7273,2292,2047,2456,1667,1383,133,2059,3154,26994,12102,14961,1231,3708,635,5188,766,1520,1283,0,421930,,,,,,,,,,,,,,,,
