PROD_NA/INDUSE,A01,A02,A03,B,C10-12,C13-15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31_32,C33,D,E36,E37-39,F,G45,G46,G47,H49,H50,H51,H52,H53,I,J58,J59_60,J61,J62_63,K64,K65,K66,L,M69_70,M71,M72,M73,M74_75,N77,N78,N79,N80-82,O,P,Q86,Q87_88,R90-92,R93,S94,S95,S96,T,U,TOTAL,P3_S14,P3_S15,P3_S13,P3,P51G,P53,P52,P5M,P5,P6_B0,P6_U2,P6_U3,P6_D0,P6,TFU,TU
C26,0,0,0,0,39,7,2,2,3,8,4,3,5,26,32,17,14,4,7,5,1,5,22,20,14,7,29,8,126,38,26,1,6,8,2,4,7,22,11,4,0,0,5,12,13,7,11,5,1,1,0,11,3,69,18,40,17,1,0,12,1,0,0,0,766,360,0,0,360,1876,0,-78,-78,1798,256,208,48,136,392,2550,3316
C27,0,0,0,1,21,4,1,1,1,4,2,2,3,14,18,19,11,75,16,6,0,4,18,12,9,84,294,21,322,98,30,1,6,9,2,43,13,18,28,5,0,0,0,24,30,17,3,13,4,1,0,1,1,20,0,2,18,0,0,0,3,0,0,0,1350,917,0,0,917,335,0,-110,-110,225,337,208,129,103,440,1582,2932
C28,0,0,0,6,39,5,1,1,1,3,4,4,3,13,17,21,0,7,24,2,1,3,6,9,6,3,71,0,6,0,35,1,6,9,2,27,5,3,0,3,0,0,0,3,0,0,2,0,0,4,0,3,0,0,17,0,0,0,0,8,0,0,0,0,385,85,0,0,85,2604,0,-46,-46,2558,282,151,131,239,521,3164,3550
C29,0,0,0,2,6,1,1,0,0,0,1,0,1,4,2,4,0,1,1,10,0,1,2,0,2,12,1,0,2,0,13,0,11,16,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,108,1917,0,0,1917,478,0,-196,-196,282,60,46,14,16,76,2275,2383
C30,0,0,0,5,4,1,0,0,0,0,0,1,1,1,2,3,2,0,1,0,25,1,38,0,0,0,2,1,2,1,22,155,2,5,1,10,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,0,298,529,0,0,529,4800,0,-69,-69,4731,259,167,92,590,849,6109,6407
C31_32,5,0,0,1,4,3,1,0,0,0,0,1,1,1,2,7,0,0,1,0,0,22,1,6,0,11,5,0,1,0,4,3,1,1,0,77,0,0,0,1,0,0,2,3,0,0,4,0,0,0,0,17,3,232,0,228,24,4,0,49,0,3,0,0,734,1941,0,304,2245,512,72,-98,-26,486,145,108,37,42,187,2918,3651
C33,102,1,16,6,59,4,1,1,1,1,5,5,2,4,6,16,1,3,14,4,4,1,28,0,13,62,246,1,9,3,70,120,12,188,4,130,36,0,2,58,0,0,0,9,1,0,6,1,1,12,0,7,7,144,28,135,1,0,0,38,0,0,0,0,1629,10,0,0,10,15,0,-7,-7,8,0,0,0,0,0,18,1647
D,107,1,0,21,277,62,20,18,8,77,41,22,58,166,449,104,3,14,20,4,3,26,22,552,111,43,57,34,125,52,55,93,17,172,6,186,2,19,46,9,39,3,4,40,24,11,17,24,14,17,0,26,12,126,32,213,32,4,6,96,1,0,0,0,3840,2775,0,0,2775,0,0,0,0,0,73,73,0,12,85,2860,6700
E36,96,1,0,1,18,1,0,0,0,0,1,1,1,2,2,1,0,0,0,0,0,1,1,10,7,39,7,0,1,0,3,14,1,9,0,2,10,3,0,25,16,0,0,2,0,0,2,0,0,0,0,2,0,62,8,40,25,2,2,14,0,0,0,0,438,563,0,48,611,0,0,0,0,0,0,0,0,0,0,611,1049
E37-39,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,46,195,132,3,9,1,11,0,175,10,0,106,24,0,0,1,66,56,26,5,56,31,0,0,5,7,1,12,35,4,0,4,0,2,0,0,0,1047,802,0,1002,1804,0,0,0,0,0,106,76,30,123,229,2033,3079
F,12,0,0,6,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,12,2,1380,11,173,70,346,63,2,21,1,50,0,7,15,4,112,0,26,408,16,7,18,7,2,1,0,19,21,114,74,146,4,25,8,301,1,2,0,0,3496,763,0,0,763,18041,0,-1183,-1183,16858,463,383,80,103,565,18187,21682
G45,87,1,4,9,166,22,11,15,9,138,18,12,20,30,40,36,1,12,9,3,1,15,9,28,3,13,153,17,160,56,230,26,56,15,20,149,3,3,23,2,5,1,4,21,16,10,4,14,2,26,0,7,11,37,3,79,13,1,1,28,2,0,0,0,1908,2551,0,0,2551,275,0,1,1,277,227,159,68,133,360,3187,5096
G46,516,4,35,25,1295,187,75,118,68,1106,144,135,159,174,323,259,11,93,64,26,9,108,61,222,13,72,949,32,596,153,120,190,41,67,17,1138,22,16,41,14,36,4,5,80,49,28,28,21,6,17,0,27,20,228,24,619,86,6,9,70,4,3,0,0,10067,10060,0,0,10060,2193,0,10,10,2203,1807,1268,538,1058,2865,15128,25195
